                                    监测站,                                    59,                                    26,                                    1.354,                                    69,                                    140,                                    127
                                    职业技术学院,                                    18,                                    25,                                    1.784,                                    67,                                    152,                                    114
                                    烈山区政府,                                    60,                                    30,                                    1.388,                                    84,                                    154,                                    115
                                    监测站,                                    61,                                    32,                                    1.223,                                    69,                                    134,                                    119
                                    职业技术学院,                                    19,                                    31,                                    1.614,                                    67,                                    169,                                    120
                                    烈山区政府,                                    64,                                    26,                                    1.137,                                    84,                                    198,                                    112
                                    监测站,                                    65,                                    27,                                    1.142,                                    69,                                    128,                                    99
                                    职业技术学院,                                    19,                                    37,                                    1.320,                                    67,                                    146,                                    105
                                    烈山区政府,                                    71,                                    49,                                    1.057,                                    84,                                    192,                                    98
                                    监测站,                                    55,                                    15,                                    0.989,                                    69,                                    119,                                    87
                                    职业技术学院,                                    19,                                    26,                                    1.081,                                    67,                                    132,                                    94
                                    烈山区政府,                                    74,                                    30,                                    0.937,                                    84,                                    151,                                    94
                                    监测站,                                    62,                                    14,                                    0.928,                                    69,                                    131,                                    93
                                    职业技术学院,                                    20,                                    20,                                    1.007,                                    67,                                    126,                                    92
                                    烈山区政府,                                    71,                                    18,                                    0.836,                                    84,                                    146,                                    107
                                    监测站,                                    59,                                    13,                                    0.902,                                    69,                                    131,                                    91
                                    职业技术学院,                                    20,                                    23,                                    1.098,                                    67,                                    130,                                    93
                                    烈山区政府,                                    72,                                    20,                                    0.913,                                    84,                                    120,                                    84
                                    监测站,                                    61,                                    11,                                    0.932,                                    69,                                    135,                                    91
                                    职业技术学院,                                    19,                                    24,                                    1.131,                                    67,                                    134,                                    103
                                    烈山区政府,                                    61,                                    22,                                    0.956,                                    84,                                    144,                                    89
                                    监测站,                                    48,                                    12,                                    0.941,                                    69,                                    134,                                    94
                                    职业技术学院,                                    20,                                    19,                                    1.473,                                    67,                                    155,                                    95
                                    烈山区政府,                                    71,                                    24,                                    1.032,                                    84,                                    183,                                    82
                                    监测站,                                    54,                                    18,                                    0.996,                                    69,                                    124,                                    82
                                    职业技术学院,                                    16,                                    16,                                    1.486,                                    67,                                    185,                                    91
                                    烈山区政府,                                    77,                                    29,                                    0.892,                                    84,                                    141,                                    82
                                    监测站,                                    75,                                    35,                                    0.979,                                    69,                                    122,                                    78
